a	a	art_def
abstracionista	abstracionista	adj
abstracionistas	abstracionista	adj
abstract	abstract	nom
abstracta	abstracto	adj
abstractas	abstracto	adj
abstracto	abstracto	adj
abstractos	abstracto	adj
abstracts	abstract	nom
abstracção	abstracção	nom
abstracções	abstracção	nom
abstraem	abstrair	ver
abstrai	abstrair	ver
abstraia	abstrair	ver
abstraindo	abstrair	ver
abstraio	abstrair	ver
abstrair	abstrair	ver
abstraiu	abstrair	ver
abstrata	abstrato	adj
abstratamente	abstratamente	adv
abstratas	abstrato	adj
abstrativa	abstrativo	adj
abstrato	abstrato	adj
abstratos	abstrato	adj
abstração	abstração	nom
abstrações	abstração	nom
abstraída	abstraído	adj
abstraídas	abstraído	adj
abstraído	abstraído	adj
abstraídos	abstraído	adj
abstrusa	abstruso	adj
abstrusas	abstruso	adj
abstruso	abstruso	adj
abstrusos	abstruso	adj
abstém	abster	ver
abstêm	abster	ver
abstêmio	abstêmio	adj
abstêmios	abstêmio	adj
absurda	absurdo	adj
absurdamente	absurdamente	adv
absurdas	absurdo	adj
absurdez	absurdez	nom
absurdidade	absurdidade	nom
absurdidades	absurdidade	nom
absurdo	absurdo	adj
absurdos	absurdo	adj
abula	abolir	ver
abulia	abulia	nom
abunda	abundar	ver
abundam	abundar	ver
abundancia	abundanciar	ver
abundando	abundar	ver
abundante	abundante	adj
abundantemente	abundantemente	adv
abundantes	abundante	adj
abundar	abundar	ver
abundaram	abundar	ver
abundarem	abundar	ver
abundaria	abundar	ver
abundarão	abundar	ver
abundas	abundar	ver
abundassem	abundar	ver
abundava	abundar	ver
abundavam	abundar	ver
